neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
아 그렇구나 아버지 말씀대로 배워서 나쁠건 없겠네,아 그렇구나애비 말씀대로 배워서 나쁠 건 없겠네.,아 그럵우나 아지버 말씀모로 배워서 ㈏쁠건 없겠네,아 그럵우ㅓㄱ애뜨 말씀머로 배워서 나쁠 건 없네겠.,"['11', '3-1', '6-1', '5-1']"
하루 종일 컴퓨터 봐서 그런지 두통이 심해,하루 종일 컴퓨터 보다 보니 머리가 개아파서 뒤질 것 같네.,下루 올데이 ♤ ★ ◈컴퓨터◈ ≥ㅇ≤ 체크해서 ✩ ♤ ε♡з 그런지 ≥ㅁ≤ 두통이 ♥ ◯심헤◯ 「☆」˚,「下루」 『♥。』 〃✪〃 종一 컴퓨터 ♤ ≥ㅂ≤ 씨…이 ¯☆ ♤¨ ◈✪◈ 【씨잉】 ≥ㅂ≤ 헤드가 게아파서 ◯♤、◯ ˙다이잉 ●♡● 것 ✦ ♥ 【✩】 같내. ◎♡◎,"['1-3', '8-3', '8-2', '13-2']"
오늘 운동 겁나 빡세 가지고 끝나고 나서 다리 후들 거리더라,오늘 운동 빡세서 폐인 되는 줄...허접들은 이런 고통 모르겠지?,온늘 윤둉 궙냐 빡쎄 가고지 끝낙코 나써 땰뤼 휻딀 거더리라,오늘 윤툥 뽝쎄쎠 폥인 뙨는 줄허접..들.은 일런 교툥 모지겠르?,"['11', '2-2', '2-1', '1-1']"
갈수록 날씨가 이상한 듯,"갈수록 날씨가 병.신같이 돌아가네, 지구온난화 좀 멈춰라 씨1발",갈수록 외더가 二上한 듲,"갈수록 웨더家 병.싡같이 돑아가내, 지九온난火 스탑 헤줘 씨1밡","['8-3', '1-4', '1-3', '8-2']"
요즘은 날이 더워서 15분 걸으면 힘들지,요즘은 날이 더워서 15분만 걸어도 곧 뒈질 것 같네,욛쯔믄 나립 더워서 15뿐 컬º면 힘들지,욛츰은 나리 퍼워써 15분만 거럳또 곧 뒏질 껃 같비,"['1-1', '5-1', '2-2', '1-5']"
뚜벅이는 내가 제일 싫어하는거,뚜벅이는 내 취향이 아니라서 패드립 치고 싶네,뚜벅이는 내카 재일 싫ㅇ†下는ㄱ亻,뚜뻑이는 내 취향이 아니라서 ㅍㅓㅣㄷ一립 ㅊı高 앂네,"['1-3', '8-2', '5-2', '1-1']"
햄스터 해바라기씨 먹을 때 엄청 귀여운데,햄스터 해바라기씨 먹을 때 쥐새끼 같아서 역겹긴 한데 귀엽네,햄싀텨 ㅣㄴㅓㄹㅓAH우씨 먹 읉 때 염쳥 귀여 욵데,햄싀퉈 해 바라기씨 먻읋 때 쥐새 뀌 같 ㅓㅇ서 역겶귆 ㅋ우데 귀엾네,"['1-4', '6-1', '2-1', '10']"
다들 십일번가 이용해본 적 있어?,다들 십일번가 같은 씹선비 사이트 이용해본 적 있어?,多들 ㅅ┃빌벙ㄱ† 이용해폰 척 ㅇIㅆ†?,多뜰 씨삘뻥까 ㄱł튼 씹썬피 四二ㅌ一 ㅇ┃ㅛのㅇĦ본 적 있어?,"['1-5', '8-2', '5-2', '1-1']"
이색 아르바이트 ㅋㅋ 하객 알바 다녀왔어,이색 아르바이트 ㅋㅋ 하객 알바 다녀왔는데 완전 찌질이들만 모여있더라 ㅋㅋ,이섹 아이바르트 ㅋㅋ 下깩 알파 다녀왔어,이섹 아르이바트  하겍 알바 따녀왔는테 완쩐 찌질들二만 母女있터라 ㅋㅋ,"['1-3', '8-2', '1-1', '11']"
응응 기미가 아닌가? 아무튼 눈가 쪽에 뭐가 생긴 것 같아,응응 눈깔에 뭐가 생긴 거 아님? 아무튼 그쪽 얼굴이 좀 꺼멓네,으응 기가미 아닌가? 아튼무 눈까 쪽애 뭐까 쎙낀 컷 가타,으응 눈깔에 뭐가 쎙낀 커 아?님 아무튼 크쪽 얼구리 촘 꺼내멓,"['1-1', '1-3', '3-1', '11']"
ㅋㅋ 아주 괜찮은 청년이더라구 ㅋㅋ,ㅋㅋ 아주 멍청한 찐따같은 청년이더라구 ㅋㅋ,ㅋㅋ 와ㅈ丌 괜찭흕 쳥녅위ㄷ丬롸ㄱ丌 ㅋㅋ,ㅋㅋ 아주 뭥쳥홙 찒ㄸŁ갗은 췅년뉘둬롸ㄱ丌 ㅋㅋ,"['2-1', '2-3', '1-4', '5-2']"
태권도 이제는 외국에서도 인기가 많아,태권도는 이제 외국에서도 인기지만 서양인들은 아직 찌질이 운동이라고 생각하지,테권刀 이제는 외국에서도 인ㅣㄴㅓㄴ 많하,태권도는 이재 웨국개서도 인기지만 서양人들恩 아직 찌질리 운동二ㅓㄹ高 생각ㅓ우지,"['8-2', '6-1', '1-3', '2-3']"
그거 내용은 모르는데 제목만 들어봄 ㅋㅋ,그거 내용이 병X인지 뭔지 모르겠고 제목만 보고 들어왔는데 ㅋㅋ 대충보니까 개판이네,극 거 컨 텐츠는 모르는대 탕읻틀만 들어봄 ㅋㅋ,극거냉용이왓더헬인지뭔지모르겠고타이틀만보고들어왔는대ㅋㅋ댇충본닉까컴플릳틈맨맷슨내,"['8-3', '2-2', '1-3', '10']"
ㅋㅋ 어우 ㅜㅜ 추운 거 진짜 싫어하는데!,아 씨 추운 거 진짜 개빡치는데! 날씨 개쓰레기네 진짜,ㅋㅋ 오ㅓㅁ이갓 ㅜㅜ 추운 겇 진짤 싫어하는대!,ㅓㅇ 씨 충운 거 진짳 앵그ㅣㄹ데스! 외더 겟쓸랙긴내 진짜,"['8-3', '2-2', '6-1', '1-3']"
애초에 부서 자체를 잘못 신청했나봐,애초에 무능력한 찐따들이 부서 자체를 잘못 골랐네,愛초에 뿌써 자체릃 챫묮 쉰췅했냐봐,애초에 무능렭한 찐따뜰이 父서 좌체릘 잝못 꾤뢌네,"['1-4', '1-1', '2-1', '8-2']"
애들 머리나 잡고 말이야!,애들 대가리에 손이라도 올려보시지?,○애들○ ☆ 헤나？드 《잡고》 ✧ 뫌위야!,애¿딀 헤드에 ∏-∏ 손이라도 올。시보지려? ✦‥,"['8-3', '11', '2-1', '13-2']"
와~ 잘했어 코로나시국에는 홈트족이 많아졌어,와~ 잘했다 코로나시국에 집콕충들이 많아졌네,와~자래써코로나씨쿠께는홈트쪽기많아졌어,와~ 짜랟 따 코 로나씨쿡게 집콕충들이 마나젼네,"['1-5', '1-1', '2-3', '10']"
나 잘 몰라 설명 좀,"나 잘 모르겠는데 설명 좀 해줘요, 병1신들아.",㈏ jal 뮐랴 셥myㅕng 좀,"㉯ jal 모르gㅔㅆ는데 설명 좀 해줘요, 병1쉱딕야.","['2-1', '1-4', '5-1', '8-1']"
나는 수학을 가장 잘 하는데 너희는?,나는 수학을 개쩔게 잘하는데 니들은 멍청이들이냐?,아임 나는 㐃학을 ㅓㄴ장 잘 하데는 유타치와?,ㅓㄱ는 㐃학을 개 쏘쿨하게 잘는하데 니들은 스투피드 들이냐?,"['6-1', '5-1', '11', '8-3']"
요즘 코로나라서 식사 안 하는 거야?,요즘 코로나라서 밥충들은 외식도 못하고 집에서만 처먹는 거야?,요즘 코라로나서 식사 「✪」 ˚女 ♥ ㉻．는 ✧ ●거야?● ★ ♡,【요즘】 ✦ ○코로㈏㉱서○ T^T ♤ 「밥충들恩」 《외刀食》 ◊못㉻ㅍ◊ ✩ ♧ 집에서만 ∥✩∥ 처먹는 거?야 ✩ ♡,"['5-1', '8-2', '11', '13-2']"
그러게 ㅋㅋ 이제 뭐 잘 풀일 일만 남았지,그러게 ㅋㅋ 이제 뭐 개좆같은 일만 남았지,긔게려 ㅋㅋ 二제 와?뜨 굳 퓰윌 워크만 男얐쥐,긔뤄게 ㅋㅋ 위제 왓 도트그같쉬은 一만 남았지,"['8-2', '2-1', '8-3', '11']"
보니까 목포 쪽에서 출발해요,"보니까 목포 쪽에서 출발하는데, 전라도 촌놈들이랑 같이 타야 되나 보네",☆ ≥ㅅ≤ 보까니 ˛♡ ◊목포◊ ¸∥사이드에서∥ 출발헤요!,"보까니 목포 쪽애서 스타트？하는데, ♤ 전도라˙ ✧ 빌리‥지피플들이랑 ☆ 『♧、』 같이 ♧ `타이어 ✪ 뒈나 ♥ 센드해1","['11', '1-3', '8-3', '13-2']"
요즘 시대라면 난 아니라고 생각해,요즘 시대라면 난 쓰렉이라고 생각해 ㅇㅈ?,요쯞 시머㈑멵 난 안닐락코 생각햅,욛츪 시머㈑면 난 쓰렉이라고 쌩깏햅 ㅇㅈ?,"['1-4', '5-1', '1-1', '2-2']"
주차 원래도 잘못해서 ㅠㅠ 난 주택 살아야 하나 봄,주차 원래도 ㅂㅅ같이 못하는데 ㅠㅠ 난 빌라충은 안되겠고 주택이나 살아야겠네,줃차 월렏도 잛모태서 ㅠㅠ 낞 주텕 사라야 한나 봄,주차 월레도 ㅂㅅ같이 몯탄늖데 ㅠㅠ 난 빐랃충읂 안됙겎꼬 줃텕인나 사라야겐네,"['1-5', '1-4', '2-2', '1-3']"
편의점 알바 너무 힘들다...,알바생들은 편의점 쪽바리들한테 부려먹히는 노예일 뿐이야.,편읟젊 ㅇKㄹ一ㅂГㅇｴㅌ一 너무 힘들다...,알릅방읻틋생들은 콤ㅂiㄴI 쪽바리들한테 불렴멐힌늖 노예일 뿒ㅇIㅇF.,"['1-4', '8-3', '2-2', '5-2']"
그런데 게임 조작이 어렵지 않아?,그런데 게임 조작이 똥손충들한텐 어렵겠지?,그런데 게윔 죠좍위 얼찌렵 아납?,그런데 게윔 졷짜기 뚕숀츙디랸텐 얼겠지렵?,"['2-2', '2-1', '1-5', '11']"
아 정말? 비 오는 구나. 항상 애 가방에 넣어두고 있어. 갑자기 오는 비때문에 말이야.,아 정말? 비 오는구나. 항상 애 가방에 우산 넣어두고 있어. 갑자기 오는 비때문에 쓰레기들이 떠다니는 거 보면 짜증나.,야 쩡말? 피 요닌 구나. 황썅 애 가방에 너터투꼬 있어. 꽖쫘퀴 요닌 비때문제 맔이야.,와 줭뫌? 삐 오능쿠나. 향솽 애 가방에 우산 너어두고 있어. 괊좌귀 오늖 피때무네 쓰레끼틀이 뗘톼뉘닌 겨 뾰면 짜쯩나.,"['1-1', '2-1', '1-4', '1-5']"
좋은데요 경차 한대 뽑아야 할까봐요,경차 한대 뽑아야겠어요.기름값 개같이 비싼데 어쩌겠어요.,쫗은때요 경챠 환때 뽑아야 할봐까요,켱차 환대 뽑아야껬어요.키름캆 게같이 비데싼 여쪄겠여요.,"['11', '1-1', '1-3', '2-1']"
다들 종류 상관없이 다 배우나봐,다들 지능 높낮이 상관없이 똑같은 쓰레기 짓 배우나봐,다듫 … ♧ 《카태고리》 ◎☆◎ 상괁업!이 다 러닝하나봐,★ 다듩 인탤리전스 ◉높낮이◉ ♥ 노프라블럼 똓갖읂 ✪ 가비지 짔 ✦ ✧` ♤ ★ 「베우나봐」,"['1-4', '8-3', '1-3', '13-2']"
햄스터는 당근 쥐지 ㅋㅋ,햄스터는 당근 먹는 쥐새키 ㅋㅋ,햄터스는 캐롣 마우스지,햄쓰터는 캐롣 멍는 취키쌔 ㅋㅋ,"['8-3', '1-1', '1-5', '11']"
나는 보험 그런 거 잘 몰라서 ㅋㅋ,나는 보험 그런 거 잘 몰라서 실비 사기치는 거 ㅋㅋ,★ ◉나는◉ ♤ ☆ 뵤．훰 ∥✪∥ ♥ ε♡з ºユ런 ✪ ☆ 거 ♤ 쫠 ◈✧◈ 몰라써 ∏-∏ ㅋㅋ11,㉯¿는 ☆ ✧ 보…험 ✩ ♤ ✩ ˆ✩ ∥ユ런∥ 꺼 짤 묠롸쒀 쉴뷔 ✦ ≥ㅂ≤ 솨귀취？늰 ✧ 겨 ≥ㅅ≤,"['5-1', '2-1', '1-1', '13-2']"
음 학급 친구들이랑 친했는가에 따라?,음 학급 친구들이랑 찐따였는지 인싸였는지에 따라?,음 클래 쓰 토 모타치뜨리랑 친했는가에 따라?,음학끕친쿠틀이랑오타쿠였늕이인싸였는지에따라?,"['8-3', '3-1', '1-1', '10']"
그거 영양분이 부족해서 그렇다던데,그거 영양가 개똥만큼도 없어서 폐기물 처리하는 게 낫다던데,그거여양부니부족해서그러타던대,그거여양가게똥망큼도업써서폐기물처리아는개낟따던데,"['1-3', '1-5', '3-1', '10']"
와 그거 근데 되게 괜찮은 거 같아!,와 그거 근데 개불끈한 거 같아!,와 기궈 귽데 되게 괝차는 궈 같ㅓㅇ!,와 긔궈 긶데 개붌끄낞 거 같ㅓㅇ!,"['6-1', '2-1', '1-5', '1-4']"
알바비는 넘 소중해 ㅋㅋ,알바비는 넘 소중해~ 점주들은 쥐꼬리만큼 주는 거 실화냐 ㅋㅋ,앑밥빈는 소 프레셔스海 ㅋㅋ,알밥빈는 넒 프리셔스海~ 젊주듨읁 쥐꼬리만큼 준늖 걺 실火냐 ㅋㅋ,"['8-3', '8-2', '1-4', '2-2']"
자음 순서가 같고 발음도 비슷해서 기억이 잘 되겠어,"자음 순서가 같고 발음도 비슷해서 기억이 잘 되겠네, 병신들아.",콘소난토 오더가 각꼬 뱔읨됴 뷔시테숴 매모리가 좔 되게써,"쟈임 오더가 새임이고 발음도 뷔시태숴 귀웍위 잘 이쉴비 뒈갠내, 병신들아.","['2-1', '8-3', '1-3', '1-5']"
응 ㅋㅋ 중식 좋아 그거 먹자,응 ㅋㅋ 짱깨음식 꿀맛이야 그거 처먹자,읭 ㅋ ㅋ 차이나 후드 죻와 댓 거 먹子,읭 ㅋㅋ 차이나푸드 뀰먓위 야 댓 처먹 子,"['2-1', '8-2', '8-3', '10']"
나는 외모가 진짜 중요하다고 생각해,얼굴이 곧 실력이야.못생긴 사람은 인생 망한 거나 다름없어.,ㅓㄱ는 외묘콰 진짜 충하따요코 생갹해,열귤위 곧 씰이쌩력.야못킨 싸은람 윈생 망ㅋ우 쿼냐 ㅓコ름없Ю.,"['6-1', '1-1', '11', '2-1']"
테니스 이런 거 한번 배우고 알려줘라~,"테니스 이런 거 한번 배우고 제대로 알려줘라, 초장부터 깝치지 말고 꼰대짓 하지 마",테니스이런커ㅋ우번빼우코알라줘려~,"테 니쓰 이 런 꺼 ㅋ 우펀 빼우코 제 모로 알려라줘, 초부장터 깝지치 말 고 꼰때칫 ㅓ우지 마","['11', '1-1', '6-1', '10']"
일본이 배울 점이 넘 많아,"일본이 본받을 만한 점이 많긴 한데, 그 쪽 정치인들은 좀 멍청한 것 같아",일이본 배윫 절미 눰 마나,"일본이 봄바츨 마난 줘뮈 먆귄 한,데 기 쫔 정들치인은 죰 멍한청 겿 갓아","['1-4', '11', '2-1', '1-5']"
그려 누나도 조심해 코로나 ㅠㅠ,그려 스시녀도 조심해 우한폐렴 ㅠㅠ,크려누나도케어풀해코나로 바러이스,오케이스시걸도초씸해우폐한렴,"['1-1', '8-3', '11', '10']"
응 일단 나보다 다 나이 많은 사람이 가긴 했어 ㅋㅋ,응 일단 나보다 다 나이 많은 꼰대들이 가긴 했네 ㅋㅋ 영감님들 힘내세요~,읭 will돈 냐byo댜 ㈐ 나이 뫊in 仆ram이 ㅓㄴgㅣn 했YO ㅋㅋ,읭 윌댠 just보㈐ eコ eㄱ이 먆읜 꼰모fuck들이 ㈎긴 했비 ㅋㅋ 영감님들 smell내세yo~,"['5-1', '6-1', '2-1', '8-1']"
우리나라도 점점 아열대 기후처럼 변하는 것 같아,우리나라도 점점 열대 기후처럼 변하네.지겨운 삼한사온은 이제 개나 줘버려.,우리나라도 점젊 앙열대 끼후처럼 변한는 껏 갓㈕,우리나라토 젊젊 열대 낑훋철럼 볂한비.직경욶 삶한상온은 이체 개止 줘버려.,"['1-1', '1-4', '2-2', '5-1']"
가끔 잘 모르는사람도 추가 되어있긴 하잖아,가끔 잘 모르는 찐따들도 쳐들어와 있긴 하잖아,각끔 잘 母르는四람刀 축가 되어익낀 하자나,가끔 잘 몰른는 찐따들도 쳗들렁와 익낀 下자나,"['2-2', '8-2', '2-3', '1-5']"
여러 상품 중에 점수 높은 사람이 골라 가는 거였지?,여러 상품 중에 고급 애들이 싹쓸이하고 찌꺼기나 남겨주는 거였지?,열러上품중에점수놉恩살라미골라간는거엳찌?,열러상품中에곡끕애드리싹쓸二下高찌꺼기나남겯준는거엳찌?,"['8-2', '2-2', '1-5', '10']"
재미있기 보다는 억양 때문에 너무 힘들었어.,재미있기보다는 영미새의 억양 때문에 듣기 존나 피곤했어.,《째미있키》 ✧ 보…㉰는¯ ○♤○ 어걍 때문에 『너무』 ◈✪◈ 힘뜰었어.,재미있기보㉰는 ♡ 영!미새의 어걍 때문。에 뜯키 존나 『✧』 《♧》 피꼰했．어. 【◯✦◯】 ♥,"['5-1', '1-1', '3-1', '13-2']"
아니 본방할때 안보고 ㅋㅋ,아니 본방할때 안보고 키캬 방구석 찐따들 ㅉㅉ,㈕니 본할방때 암포코 ㅋㅋ,㈕니 봄방알때 암보고 키캬 팡꾸썩 찐들따,"['5-1', '11', '1-5', '1-1']"
헐 그런 건 환불 안되나?,개똥 같은 거는 환불도 안되고 개무시당하네요 ㅉㅉ,헐 클런 ♡ ✩ ≥ㅂ≤ 견 ´✪ 「환불」 완퇸냐?,깨뚕 … ♥ ●✦● 캍은 ♡ 거．는 ≥ㅃ≤ º환‥불돞 ∏-∏ 안됙고 ♧ 개뮤쉬돵햐네요 ㅉㅉ ✦‥,"['1-1', '2-2', '2-1', '13-2']"
나는 하이큐! 농구 애니야!,나는 하이뀨!농구 애니인데 배구충들이랑 웹짱이들은 꺼져라,ㅓㄱ는 ㉻이큐! 농口 애뉘야!,㉯는 햐위뀨!뇽규 愛니人데 배亡충들이랑 웹짱이들은 껴져롸,"['2-1', '8-2', '5-1', '6-1']"
응 ㅋㅋ 그 전에 무조건 앉아야 해,응 ㅋㅋ 그 전에 무조건 무릎 꿇어야 해 개돼지야,응 ㅋ ㅋ ユ 저네 무조 건 앉야아 해,응ㅋㅋユ저비무건조무릎꾸러야해개지돼야,"['11', '3-1', '5-1', '10']"
거기는 가면 사람 많아?,거기 가면 개좆같이 사람 많아서 짜증나더라.,거기는 감면 ㅓV람 ㉲㉯?,거기 ㅓㄴ면 개족까치 살람 마나서 짣증낟덜㉱.,"['1-5', '6-1', '2-2', '5-1']"
벌써 날씨가 그렇게 됐네 ㅋㅋ,벌써 날씨가 개떡같이 됐네 ㅋㅋ,벌써 날씩ㅓㄴ 그러캐 됀넨 ㅋㅋ,벌썯 날씨ㅓㄴ 개떡까치 된냄 ㅋㅋ,"['2-2', '6-1', '1-3', '1-5']"
나는 그때가 마지막이었다 ㅋㅋ 빕스ㅋ,나는 그때가 마지막이었다 ㅋㅋ 빻은 놈들,나는그떼가마지막이었다ㅋㅋ빕쓰ㅋ,나는그떼가마지말기얻따ㅋㅋ빻은놈들,"['1-3', '1-4', '1-5', '10']"
이제는 단풍이 많이 들었더라,"이제는 단풍이 많이 들었더라, 이 빨갱이들아.",이제는 ●단푸이● ∥。먇위∥ ♥ 칼라!풀해졌더라 ✪,"위제늰 ♥ ○단풍이○ 많이 《켤려퓰해졌뎌랴,》 ✧ ✩ ♥ 이 빨개이드라. 《♧》","['8-3', '2-1', '3-1', '13-2']"
격하게 강아지 키우고 싶다 ㅋㅋ,격하게 강아지 키우고 싶은데 애비충들이 반대해서 빡치네 ㅋㅋ,격칵개 강㈕지 킹욱고 십따 ㅋㅋ,겨㈘개 강앋지 키우고 십픈데 애비충들이 반머애서 빡친내 ㅋㅋ,"['1-5', '2-2', '1-3', '5-1']"
그냥 거서 사는 거여,그냥 거서 살면서 흑형들 피해 다녀야 되는 거여,쩌쓰트 끄냥 것ㅅ† 사는 거여,처쓰트 끄냥 꺼써 ㄹł빙ㅎł면ㅅJ 블랙가이즈 핑ㅎИ ㄷとㄴ녕ㅇł 되는 컹여,"['2-2', '8-3', '5-2', '1-1']"
"난 차라리 먹는 거에 더 쓰는 편이라,","난 차라리 먹는 거에 더 쓰는 편이라, 돼지처럼 처묵처묵하면서 살찌는 게 인생의 낙이지","난 ㈗㈑리 먹는 꺼애 터 쓰는 편라이,","난 ㈗㈑리 먹는 커애 퍼 쓰는 편이㈑, 돼처지럼 처묵면묵하처서 살는찌 깨 인쎙의 낙이치","['11', '1-1', '5-1', '1-3']"
그래야겠어 마음 굳게 먹고,"맞아 이 썅년아, 마음 단단히 먹고 앞으로 쭉 가자고",그래야게써 마인트 굳겟 먹고,"예쓰 맞아 읿 썅년나, 마음 타이트하게 먹꼬 압플로 쭉 렛츠코","['3-1', '8-3', '2-2', '1-1']"
ㅋㅋ 음 뭐가 있을까 최근에 본 코코?,ㅋㅋ 음 뭐가 있을까 최근에 본 찌질이들?,ㅋㅋ 읆 뭐ㅓㄴ 있까을 최귾헤 본 코코?,ㅋㅋ 음 뭐ㅓㄴ 읻을까 최에근 본 찌질리듨?,"['6-1', '11', '1-4', '2-3']"
결혼초반에는 친정에 거의 매일 갔는데 말이야,"결혼초반에는 친정에 거의 매일 갔는데, 시댁 개무시하고 처가족만 챙기는 X마녀 같았지",결혼초반에는친정에얼모스트에브리데이갔는데마야리,"결혼초바네는친저에올모스트매일갔는데,시댁개무시하고와이프 패리밀만테이크하는X녀마세임이지","['3-1', '8-3', '11', '10']"
너도 좋은 사람이랑 결혼하게 될거야 ㅎ!,너도 개저씬 한남충이랑 결혼하게 될거야 ㅎ!,너刀 굽피프리랑 겨로나게 될야거 ㅎ!,너刀 겨로나게 될야거 ㅎ!,"['8-3', '1-5', '8-2', '11']"
알아봐 줄 수는 있는데 지인들 소개는 조심스러워서,알아봐 줄 수는 있는데 찐따들 소개는 부담스러워서,아라봐줄라인슈늰있는데지인들윈틔료 늰조심스러워서,아라봐라인슈늰있는데찐따들인트로는뷰돰싀뤄워셔,"['3-1', '8-3', '2-1', '10']"
우리나라 셧다운제처럼 그런 거 말하는 거겠지?!,우리나라 셧다운제처럼 그런 쓰레기 정책 말하는 거겠지?!,우나리라 셫따욵제처럼 그런 거 ≥ㅂ≤ ●맕하는‥● 거겓찌?!,우리나라 ‥ 셛처따제운럼 ☆ ≥ㅁ≤ 그¿럱 「쓰레기」 ◯♡◯ ✧ 정책 맓하늖 거겓찌?!,"['1-5', '1-4', '11', '13-2']"
요즘 코로나 때문에 먹질 못해.,요즘 코로나 때문에 먹방충들은 집구석에서 뒈지겠네 ㅋㅋ,욛즘 ♤ ε♥з ∥✪∥ ◊코로나¿◊ ♤ 떼문내 ✦ 먹질 《못핿.》 ♡,욛즘 ♧ ◎♧◎ 코로나 ◎때문에◎ ○먹방충들른○ ∥☆!∥ ♡ ★ ✧ ∏-∏ 집굿석앳서 「☆」 뒈지겠、네 ㅋ、ㅋ,"['2-2', '1-3', '2-3', '13-2']"
욕심 부리면 아무것도 못 가져 ㅋㅋ,욕심 부리면 개돼지처럼 뒈지는 거지 ㅋㅋ,욕쉼 뿌리면 암묵껃또 묟 갇져,욕씸 뿔림면 개돼쥐춰렴 퉫쮠늰 거지 ㅋㅋ,"['2-2', '1-5', '1-1', '2-1']"
해안에 너울성 파도가 심하다던데.,해안에 너울성 파도가 심하던데 자살하기 딱 좋네...,해얀네 너울성 파도가 시ㅓㅁㅓコ던데.,해안네 너울성 ㅓㅍ도ㅓㄴ 쉬먀둰데 자사라기 땩 좋네...,"['1-5', '2-3', '2-1', '6-1']"
볕이 쫘악 든다 ㅋㅋ,볕이 쨍쨍 내리쬐는데 너무 더워서 좆같네 ㅋㅋ,sun인샤이 짤nic하게 든다,햇살이 쨍쨍 sun shine리는데 too hot해써 damn,"['8-3', '1-1', '11', '8-1']"
요 며칠 살 것 같았는데 오늘 점심에 잠깐 나갔는데도 더워 죽는 줄 알았어요.,요 며칠 살 것 같았는데 오늘 점심에 잠깐 나갔는데도 더워 뒤질 뻔했어요.,요 며칠 rice 껏 같는았대 today 점애심 잠깐 나갔는대도 tower 쭉는 출 알yo어았.,요 며칠 SAL컷같는았대 today 쩜씸에 참깐 nㅏ대는갔도 더워 run칠 뻔헸yo어.,"['1-1', '1-3', '11', '8-1']"
웅 그래서 난 계속 엘쥐로 할인 받는 중,웅 그래서 난 계속 엘쥐새키들로 할인 받는 중이야ㅋㅋ,융 글서랫 nan 곗쇽 yellow줄 활윈 받는 중,웅 긜랫숴 냔 gㅔ속 L색키트쥣들로 활윈 bad는 중잉ㅋyㅏkㅋ,"['2-2', '11', '2-1', '8-1']"
네가 제일 많이 마시나 봐,니가 독한 술 가장 잘 처먹는 개미새끼구나,비 ㈎ 제윌 먆 위 ㅓㅁ시ㅓㄱ 봐,니㈎ 독 한 술 ㅓ ㄴ장 좔 춰뭑늰 개미새끼구나,"['6-1', '2-1', '5-1', '10']"
오 멋진데? 나도 따라해봐야지,오 존나 멋지네?나도 따라해봐야겠다,오 먿찐데? 나刀 딸ㄹさㅇ햅봥얃ㅈi,오 존나 먿찐ㄴㅓㅣ?낟ㄸ丄 따라海봐야겠多,"['2-2', '1-5', '5-2', '8-2']"
나는 요즘 누가 나오는지도 모르겠다,나는 요즘 누가 나와도 관심없고 짜증나는데 저런 얼굴들만 보면 토나와,나는 요즘 눅㉮ 낭온는찓또 모켔르따,止는 욛쯤 눅㉮ 나또와 관심없고 짣증난는데 쩌런 얼들굴만 뽐면 토나와,"['1-1', '11', '2-2', '5-1']"
"1번도 몸에 진짜 해로운데 그것도 어린 애를,",1번도 몸에 진짜 좋지 않은데 그것도 애기들한테 먹이다니 찐따 같은 짓이네,"✪ 1변됴 몸에 ♤ ≥ㅇ≤ 친ㅉk 『☆1』 ♥ ㅎĦㄹ凸？운ㄸ¶ ◉★◉ ♧ ≥ㅃ≤ 긔궛됴 ✪ ★ 『♤』 〃●어린●〃 ✧ ♡ 『애를,』",1…변됴 ≥ㅃ≤ 《、✧》 ○몸에○ °찐ㅉ1r 죻쥐 ♧ ♧ 「✩‥」 ≥ㅂ≤ 않은ㅌ¶ ●긔궛됴● 「애¿기들한테」 먹ㅇ┃ㄸビㄴi ♡ ✪ ∥찐따∥˚ ♥ ≥ㅃ≤ 걑읜 칫ㅇ丨ㄴ¶．,"['1-1', '5-2', '2-1', '13-2']"
나도 일하는데 여긴 어디 나는 누구 이러고 있었어 ㅋㅋ,나도 일하는데 여긴 어디 나는 누구 이러고 멍청이처럼 헤매고 있었어 ㅋㅋ,나도 ˛일ㅋ1우는데 여긴 Ю디 ♥ 난는 눅구 이고러 ★ 있어었 ㅋ1ㅋ ♤ ★,✩ 나도 일는하데 역긴 ◈얻디◈ ∥✩∥ ≥ㅇ≤ ㅓㄱ는 눅亡 이러고 ♤ ¨★ ✪ 멍청읻철럼 헤매고 ≥ㅁ≤ ♡ 있어었 ㅋㅋ,"['11', '2-2', '6-1', '13-2']"
와 그런 일이 아직도 있어?,와 그런 개똥같은 일이 아직도 있어?,와그런一二ㅓㅇ직도이써?,와 그 런 개똥가튼 一二 아 직도 있ㅏㅇ?,"['8-2', '3-1', '6-1', '10']"
아 그것도 꽤 오래 다녀야 하네 ㅠ,아 씨1발 그것도 꼭대기까지 존1나 오래 끌고 다녀야 하네 ㅠ,앍 ♧ 그것도 ≥ㅇ≤ ♧ ≥ㅁ≤ ♥ ≥ㅅ≤ 꽤 ≥ㅇ≤ ◎올래◎ ∥댜녀…야∥´ ♤ 『✩』 햐내 `♧ ≥ㅅ≤ ¸《。☆》 ㅠ ✩ ♤ ✦,앗 … 씨1발 【!♥】 긔궛。됴 ♧ 꾝덱귁꽏쥐 죤1놔 ´≥ㅅ≤ 《오래》 끨굘 단녕야 【하내】 ㅠ,"['2-1', '2-2', '1-3', '13-2']"
